SADI4,ADAIR CASEY,54,25 days and 13 hours,97.4703264095
SAEI4,ADM MS _ ADEL,126,52 days and 18 hours,94.7793713595
SAFI4,EAST UNION _ AFTON,59,61 days and 19 hours,93.886759534
SAGI4,ALGONA,13,02 days and 21 hours,99.7150785801
SAKI4,CHRISTIAN ANKENY _ ANKENY,38,41 days and 20 hours,95.8605341246
SALI4,ALBIA LINCOLN CENTER,78,37 days and 14 hours,96.2798109682
SAMI4,NORTHWOOD ELEMENTARY _ AMES,78,32 days and 08 hours,96.7997856907
SATI4,ANITA,15,29 days and 08 hours,97.0983761952
SAUI4,AUDUBON COMMUN,57,26 days and 14 hours,97.3671557314
SBDI4,BEDFORD COMMUN,26,33 days and 17 hours,96.6646746895
SBKI4,BELMOND KLEMME,95,74 days and 22 hours,92.5866166612
SBMI4,DAVIS CO _ BLOOMFIELD,29,22 days and 19 hours,97.7432272777
SBOI4,UNITED COMMUNITY _ BOONE,48,18 days and 09 hours,98.1820804484
SBRI4,BGM ELEM _ BROOKLYN,64,46 days and 09 hours,95.4089735136
SBZI4,DSM BLANK PARK ZOO,9,69 days and 16 hours,93.1083086053
SCAI4,KUEMPER CATHOLIC _ CARROLL,55,09 days and 22 hours,99.0168562479
SCBI4,COON RAPIDS _ BAYARD,67,65 days and 09 hours,93.5312259589
SCDI4,WAYNE COMMUN _ CORYDON,45,21 days and 20 hours,97.8367128256
SCEI4,CENTERVILLE,16,05 days and 18 hours,99.4288520717
SCGI4,CLARION GOLDFIELD _ CLARION,39,79 days and 18 hours,92.1108088801
SCHI4,VAN ALLEN ELEM _ CHARITON,83,41 days and 16 hours,95.8757143642
SCNI4,CORNING COMMUNITY _ CORNING,69,35 days and 19 hours,96.4589515331
SCOI4,COLO ELEM _ COLO,134,97 days and 10 hours,90.3626085284
SCSI4,CRESTON HS,55,18 days and 04 hours,98.20138202
SDRI4,RIVER WOODS _ DES MOINES,62,55 days and 01 hours,94.5554456534
SEGI4,EAGLE GROVE,2,03 days and 10 hours,99.6607456863
SFAI4,PRAIRIE VALLEY _ FARNHAMVILLE,44,45 days and 19 hours,95.4672903616
SFDI4,FORT DODGE,3,00 days and 07 hours,99.9699829652
SFOI4,NODAWAY VALLEY _ FONTANELLE,76,42 days and 17 hours,95.7735740191
SGLI4,GLIDDEN RALSTON _ GLIDDEN,64,78 days and 08 hours,92.2499038356
SGRI4,GRIMES ELEM,44,34 days and 09 hours,96.5977717332
SHUI4,TAFT ELEM _ HUMBOLDT,50,40 days and 16 hours,95.9757940433
SIAI4,IOWA CHRISTIAN,59,72 days and 22 hours,92.7859517529
SIFI4,ROCK RUN ELEM _ IOWA FALLS,70,26 days and 06 hours,97.4006758985
SINI4,EMERSON ELEM _ INDIANOLA,68,125 days and 08 hours,87.5995301682
SJCI4,WDM: JORDAN CREEK ELEM,33,04 days and 09 hours,99.5648560281
SJEI4,JEFFERSON SCRANTON HS,33,08 days and 06 hours,99.1818469063
SJWI4,SOUTH HAMILTON _ JEWELL,40,125 days and 16 hours,87.5666282009
SKCI4,KCCI STUDIOS _ DES MOINES,56,31 days and 05 hours,96.9118172327
SKNI4,KNOXVILLE COMMUN,70,12 days and 21 hours,98.7263023409
SLEI4,LEON,25,27 days and 23 hours,97.2331437521
SLMI4,CAL COMMUN _ LATIMER,63,100 days and 23 hours,90.0138064622
SLOI4,LAMONI COMMUNITY _ LAMONI,121,72 days and 19 hours,92.7980409935
SLUI4,LUVERNE,10,04 days and 03 hours,99.5911638642
SMAI4,FISHER ELEM _ MARSHALLTOWN,61,56 days and 10 hours,94.4191669414
SMDI4,MADRID,2,03 days and 13 hours,99.6496867788
SMLI4,WEST BEND - MALLARD,50,185 days and 03 hours,81.6856934828
SMNI4,MONTEZUMA COMMUN,27,68 days and 12 hours,93.2228129465
SMOI4,MOUNT AYR COMMUN,82,63 days and 13 hours,93.7113281679
SMSI4,MANSON NW WEBSTER,21,26 days and 15 hours,97.3659193318
SMUI4,MURRAY COMM SCHOOL,88,87 days and 04 hours,91.3755632487
SNEI4,BERG MS _ NEWTON,55,27 days and 02 hours,97.3187987691
SNVI4,NEVADA COMMUN,66,18 days and 03 hours,98.2033053083
SOCI4,OSKALOOSA,6,02 days and 17 hours,99.7297093087
SOGI4,OGDEN,1,00 days and 21 hours,99.9134520277
SOSI4,CLARKE COMMUN _ OSCEOLA,45,27 days and 08 hours,97.2946202879
SPAI4,PANORAMA _ PANORA,99,51 days and 10 hours,94.910704473
SPEI4,PELLA MS,50,118 days and 14 hours,88.2680789098
SPKI4,POLK CITY,6,03 days and 21 hours,99.6130069238
SPYI4,PERRY,33,13 days and 07 hours,98.6847455764
SROI4,ROCKWELL CITY,56,65 days and 05 hours,93.5475739092
SSUI4,SULLY CHRISTIAN,33,65 days and 05 hours,93.5497032641
SUNI4,BCLUW MS UNION,0,0,100
SWAI4,WALL LAKE-VIEW-AUBURN,30,31 days and 10 hours,96.8911418837
SWBI4,WEBSTER CITY COMMUN,44,14 days and 02 hours,98.6038300912
SWII4,WINTERSET COMMUN,59,27 days and 11 hours,97.280676448
